,sentence,label,title
1365,"Я не готов говорить, что стало причиной задержек.",0,"Я не готов говорить, что стало причиной задержек."
1366,Степень готовности ЖК «Маяковский» — 75%.,0,«Маяковский» — 75% готовности.
1367,"– Еще одна история, о которой мне рассказывали строители.",0,"Это история, о которой мне рассказывали строители."
1368,"На заседании представитель истца поддержал заявленные требования, представитель ответчика иск не признал.",0,"На заседании представитель истца поддержал заявленные требования, представитель"
1369,Жильцы проблемного дома в пос.,0,Проблемный дом в посёлке.
1370,"Новостройка рассчитана на 1076 квартир, большинство из которых — однокомнатные.",0,"Новостройка рассчитана на 1076 квартир, большинство из которых — однокомнатные"
1371,Тогда чиновники выявили нарушения в жилом комплексе.,0,Тогда чиновники выявили нарушения в жилом комплексе
1372,"Обязательства свои не выполняют, - свидетельствует девушка в отзыве на портале недвижимости Restate.",0,"Обязательства свои не выполняют, - девушка в отзыве на портале"
1373,"Обязательства свои не выполняют, - свидетельствует девушка в отзыве на портале недвижимости Restate.",0,"Обязательства свои не выполняют, - девушка в отзыве на портале"
1374,Фактически в июне мы объект введём.,0,В июне мы введём объект.
1375,"Таким образом, проблемные объекты, о которых мы говорили, составляют около 1% всех строек.",0,"Проблемные объекты, о которых мы говорили, составляют около"
1376,"Возможно, именно из-за этой рокировки работы на всех стройках компании тормозятся.",0,"Возможно, из-за этой рокировки работы на всех стройках компании"
1377,"Нашли нового, с которым уже подписали договор.",0,"Нашли нового, с которым уже подписали договор."
1378,К 2016 году должно было быть построено 32 центра.,0,К 2016 году должно быть построено 32 центра.
1379,А также провести «первоочередные мероприятия по обеспечению безопасности проживающих в доме граждан».,0,А также провести «первоочередные мероприятия по обеспечению безопасности проживающих
1380,А также провести «первоочередные мероприятия по обеспечению безопасности проживающих в доме граждан».,0,А также провести «первоочередные мероприятия по обеспечению безопасности проживающих
1381,"Девелоперы заявляют, что сложности возникли из-за приказа Минкульта и изменения законодательства в сфере строительства.",0,"Девелоперы заявили, что сложности возникли из-за приказа Минкульта"
1382,Именно он возглавляет партийную рабочую группу по проблеме обманутых дольщиков.,0,Он возглавляет партийную рабочую группу по проблеме обманутых
1383,В ближайшее время уголовное дело в отношении Руслана и Максима Ванчуговых рассмотрит Приморский районный суд.,0,Уголовное дело в отношении Руслана Ванчуговых рассмотрит Приморский районный
1384,"(Определение Верховного Суда РФ от 20.10.2015 N 14-КГ15-9 Требование: О взыскании неустойки, компенсации морального вреда, штрафа, расходов на оплату услуг представителя.",0,(Определение Верховного Суда РФ от 20.10.2015 N 14-КГ15
1385,У застройщика их семь.,0,У застройщика их семьи.
1386,"Можете пояснить, сколько граждан в регионе пострадали от кризиса или недобросовестности застройщиков?",0,Сколько граждан пострадали от кризиса или недобросовестности застройщиков?
1387,"Учредителем первого является городское управление муниципального имущества, второго — управление градостроительства и архитектуры мэрии.",0,Что является учредителем первого муниципального управления?
1388,"Больше всего объектов, подпавших под новые поправки, возводит ""Дальпитерстрой"".",0,"Больше всего объектов подпавших под поправки возводит ""Дальпитер"
1389,"Насколько этот срок реален, сказать трудно.",0,Насколько этот срок реален?
1390,Летом 2015 года подозреваемый руководил отделом по надзору ГАСН и провел выездную плановую проверку дома.,0,Подозреваемый руководил отделом по надзору ГАСН и провел вы
1391,Летом 2015 года подозреваемый руководил отделом по надзору ГАСН и провел выездную плановую проверку дома.,0,Подозреваемый руководил отделом по надзору ГАСН и провел вы
1392,"Александр Пушилин никогда, ни одного дня не работал на стройке.",0,Александр Пушилин никогда не работал на стройке
1393,"Застройщики сейчас охотно занимаются индивидуальным строительством, люди с удовольствием стали переселяться за город.",0,Застройщики сейчас охотно занимаются индивидуальным строительством
1394,На премьерном этапе застройщик возвел восьмисекционный монолитный дом высотой 12 этажей.,0,На премьерном этапе застройщик возвел монолитный дом высотой 12
1395,Об этом со ссылкой на документы комитета по строительству Петербурга сообщает ИТАР-ТАСС.,0,ИТАР-ТАСС: строительство Петербурга в Петербурге закончилось.
1396,"В 2018 г. в рамках этой программы планируется выполнить переселение аварийных домов, расположенных по адресам: ул. Ленина, д. 31, ул. Калинина, д. 20, ул. Комсомольская, д. 1, ул. Ленина, д. 30, ул. Ленина, д. 32, ул. Ленина, д. 49, ул. Ленина, д. 53.",0,В рамках этой программы планируется выполнить переселение аварийных домов
1397,"Москва» в проектных декларациях и последующих редакциях, присутствующих в открытом доступе.",0,"«Москва» в проектных декларациях и последующих редакциях, присутствующих в"
1398,"Об этом сообщили ""Интерфаксу"" в пресс-службе компании.",0,"""Интерфакс"" сообщил об этом в пресс-службе компании."
1399,Он рассказал об этом в ходе инспекционной поездки в Березники вместе с главным федеральным инспектором (ГФИ) по Пермскому краю Сергеем Половниковым.,0,Он рассказал об этом в ходе инспекционной поездки в Березники
1400,В пресс-службе УМВД ХМАО для получения официальных комментариев попросили направить официальный запрос.,0,В пресс-службе УМВД ХМАО попросили направить официальный запрос
1401,"Проблемным были признаны 1, 4-й и 5-й корпуса ЖК ""Новая Каменка"", которые возводит ""РосСтрой"" (СУ-155).",0,"Проблемным были признаны 1, 4-й и 5-й корпуса ЖК """
1402,"Около 500 жилых домов остались без газа в Краснодаре - более чем на сутки Краснодар, 7 августа 2019, 11:25 - REGNUM Около 500 домов в поселке Краснодарском Краснодара - преимущественно частные и несколько многоэтажек - остаются без газа уже больше суток.",0,Около 500 домов остались без газа в Краснодаре - более чем на су
1403,"Заместитель директора службы правовой поддержки «Олимп» Марина Алексеева не видит ничего удивительного в том, что в Арбитражном суде Пензенской области сойдутся в споре два структурных подразделения мэрии.",0,В Пензенской области сойдутся два структурных подразделения мэрии
1404,Цена участков сопоставима с затратами инвесторов.,0,Цена участков сопоставима с затратами инвесторов.
1405,Невольно возникает мысль: а не связана ли эта «смена» с мнением самих подрядчиков?,0,Не связана ли эта «смена» с мнением самих подрядчиков?
1406,Порядка 2 тысяч семей попали в трудную ситуацию.,0,Порядка 2 тысяч семей попали в трудную ситуацию
1407,Порядка 2 тысяч семей попали в трудную ситуацию.,0,Порядка 2 тысяч семей попали в трудную ситуацию
1408,Со ссылкой на директора школы он передал основные претензии: «Отсутствует научная организация труда.,0,«Отсутствует научная организация труда».
1409,В 2016 году данный показатель составил 328 лиц.,0,В 2016 году данный показатель составил 328 человек.
1410,Принадлежит застройщику на правах собственности.,0,Принадлежит застройщику на правах собственности.
1411,Однако с каждым месяцем отставание от графика становилось все заметнее.,0,Однако с каждым месяцем отставание от графика становилось все заметнее.
1412,Новый роддом рассчитан на 10 тысяч родов в год.,0,Новый роддом рассчитан на 10 тысяч родов в год
1413,"Последовала экспертиза, которая обнаружила строительный брак.",0,"Последовала экспертиза, которая обнаружила строительный брак."
1414,"Последовала экспертиза, которая обнаружила строительный брак.",0,"Последовала экспертиза, которая обнаружила строительный брак."
1415,Проведение кровельных работ будет возобновлено 22 апреля.,0,Проведение кровельных работ будет возобновлено 22 апреля
1416,За опубликование неполной информации генеральный директор получил штрафы в 10-20 тысяч рублей.,0,За опубликование неполной информации генеральный директор получил штраф в 10-20
1417,"Отметим, что в январе 2019 года Смирнова уже задерживали по подозрению в мошенничестве, однако через двое суток его отпустили.",0,Смирнова задержали по подозрению в мошенничестве
1418,Сапроново (6 мкрн. г. Видное) Ленинского района Московской области.,0,Сапроново (6 мкрн. г. Видное) Ленинского района
1419,"Если бы здесь велись работы, мы бы увидели хотя бы минимальные изменения.",0,"Если бы здесь велись работы, мы бы увидели хотя бы минимальные измен"
1420,В настоящее время там заканчиваются кровельные работы.,0,В настоящее время там заканчиваются кровельные работы.
1421,Однако к сроку дом не был готов.,0,Однако к сроку дом не был готов.
1422,Программа по строительству перинатальных центров была утверждена в 2013 году.,0,Программа по строительству перинатальных центров была утверждена в 2013 году
1423,Ведутся работы над вертикальными конструкциями 2-го этажа.,0,Работа над вертикальными конструкциями 2-го этажа.
1424,У этих людей могут быть проблемы.,0,У этих людей могут быть проблемы.
1425,"Собеседник ""Интерфакса"" заметил, что все основные работы по первым энергоблокам планируется завершить до 7-10 декабря.",0,Все основные работы по первым энергоблокам планируется завершить до 7-10 декабря
1426,"Ошибка в сроках посевных работ отразится на количестве собранного урожая, а иногда семена и вовсе приходится пересевать заново.",0,Ошибка в сроках посевных работ отразится на количестве собранного у
1427,"До 2009 года, по информации базы данных СПАРК, ООО ""Норманн-Центр"" владела Инвестиционно-строительная группа ""Норманн"".",0,"""Норманн-Центр"" владела Инвестиционно-строительной группой ""Норманн"
1428,"В секциях №5-10 (блоки А, Г, Д, Е) монолитные работы на уровне цокольного/первого этажа завершены на 50–100%.",0,В секциях No5-10 монолитные работы завершены на 50–100%
1429,В начале сентября контракт выставят на торги.,0,В начале сентября контракт выставят на торги.
1430,"Кроме ""Суворовского"" и ""Платовского"", это такие жилые комплексы, как ""Почтовый"", ""Молодежный"", ""Маршала Жукова"", ""Московский"", ""Лазаревский"", ""Горгиппия"", поселок ""Вишневый сад"" и другие.",0,"Кроме ""Суворовского"" и ""Платовского"", это такие жилые комплекс"
1431,Комитет по строительству в период с 28 августа по 14 сентября направил управлению Росреестра уведомление по 38 новостройкам Петербурга.,0,Комитет по строительству в Петербурге направил уведомление по 38 новостройкам
1432,"Где-то – кризис, где-то – просчеты самих застройщиков.",0,"Где-то – кризис, где-то – просчеты самих застрой"
1433,"Все остальные строительно-монтажные и инженерные работы на корпусах  № 6 и № 55 уже выполнены», - сообщил он.",0,Все остальные строительно-монтажные и инженерные работы на корпусах No 6
1434,Дольщиков ГК «Город» уже исключили из реестра пострадавших.,0,Дольщиков ГК «Город» уже исключили из реестра пострадавших
1435,"Напомним, что дело слушалось в окружном арбитражном суде 15 апреля.",0,В суде слушалось дело в окружном арбитражном суде.
1436,"С тех пор, как известно, районный центр, как элемент власти, ликвидировали, а все функции передали на уровень выше.",0,"С тех пор районный центр ликвидировали, а все функции передали на уровень"
1437,"С тех пор, как известно, районный центр, как элемент власти, ликвидировали, а все функции передали на уровень выше.",0,"С тех пор районный центр ликвидировали, а все функции передали на уровень"
1438,"Прокуратура начинает работать по застройщикам, когда уже поздно.",0,"Прокуратура начала работать по застройщикам, когда уже поздно"
1439,"Я был здесь три месяца назад и могу сказать, что в доме ничего не изменилось.",0,"Я был здесь три месяца назад и могу сказать, что в доме ничего"
1440,"Сейчас оно возобновилось, и мы активизировали строительство.",0,"Сейчас оно возобновилось, и мы активизировали строительство."
1441,"Второй дом сейчас сдается, это будет еще минус 120 человек.",0,"Второй дом сдается, это будет еще минус 120 человек."
1442,"Плановый срок сдачи – июль, 2016.",0,"Плановый срок сдачи – июль, 2016."
1443,"– Надо понимать, что проблемами дольщиков мы плотно занимались и до появления реестра.",0,"Надо понимать, что мы плотно занимались проблемами дольщиков."
1444,Для их постановки на кадастровый учет застройщиком обеспечено представление графических материалов в электронном виде.,0,Для их постановки на кадастровый учет застройщиком обеспечено
1445,В нем запроектированы 562 квартиры (согласно внесенным изменениям в ПД от 05.05.2017 г.).,0,В Петербурге запроектированы 562 квартиры.
1446,"По крайней мере, со второй четверти дети должны пойти сюда учиться.",0,"По крайней мере, со второй четверти дети должны пойти сюда у"
1447,"До недавнего времени Александр Сребрянский числился гендиректором ООО «Проект Парковый-1» и ООО «РегионПроект», фигурирующих в материалах уголовного дела.",0,Александр Сребрянский был гендиректором ООО «Проект Парковый-1» и
1448,"Идущие в суд ульяновцы испытывают финансовые трудности, вынуждены снимать жилье и оплачивать ипотеку, взысканная неустойка хоть как-то поможет решить эти проблемы.",0,Ульяновцы испытывают финансовые трудности
1449,"Ведь если цены поползли один раз вниз, потенциальный покупатель будет ждать, что цены упадут еще.",0,"Если цены поползли один раз вниз, потенциальный покупатель будет ж"
1450,"Пострадал не только фасад здания, трещины были обнаружены в несущих конструкциях, с фундаментом здания тоже не все оказалось в порядке.",0,"Пострадал фасад здания, трещины были обнаружены в несущих конструкци"
1451,"Сколько на сегодня стоит 1 кв. м в микрорайонах комплексной застройки, а сколько – в центре, на той же улице Неделина, например?",0,Сколько на сегодня стоит 1 кв. м в микрорайонах комплексной за
1452,То есть сама по себе просроченная сдача объекта автоматически не ведет к включению человека в реестр.,0,Просроченная сдача объекта автоматически не ведет к включению человека в реестр
1453,"Например, выход из строя какого-либо оборудования может привести к потере данных или выходу из строя другого критически важного элемента системы.",0,"Например, выход из строя какого-либо оборудования может привести к потер"
1454,"С 1 апреля 2019 года начинаются работы, которые в середине июня мы надеемся завершить.",0,"С 1 апреля начались работы, которые в середине июня мы наде"
1455,"Новострой проверил463526 апреля 2018 в 14:44 Диана Солнцева
 
«Первый квартал» — название с подтекстом.",0,«Первый квартал» — название с подтекстом
1456,"Теперь сроки, скорее всего, перенесутся на конец 2019 года.",0,Теперь сроки перенесутся на конец 2019 года.
1457,"Я не понимаю, откуда взялась информация на ЕРЗ.",0,"Я не понимаю, откуда взялась информация на ЕРЗ."
1458,"Однако это слишком маленькая часть суммы из той, что требуется для строительства одного объекта (1,3 млрд.).",0,"Однако это слишком маленькая часть суммы из той, что требуется"
1459,"В областном правительстве оперативно комментировать ситуацию отказались, как и в гурьевской администрации.",0,В Гурьевской администрации отказались комментировать ситуацию.
1460,В эксплуатацию ввели восемь.,0,В эксплуатацию ввели восемь домов.
1461,"В компании отметили, что информация «получила некорректную трактовку».",0,"В компании отметили, что информация «получила некорректную трактовку»."
1462,"В данном случае и власти города, и Росреестр выполняют требования закона.",0,Власти города и Росреестр выполняют требования закона.
1463,"Кроме того, время подготовки Ми-35 к повторному боевому вылету занимает гораздо больше времени, чем у «Супер Тукано»",0,"Кроме того, время подготовки Ми-35 к повторному боевому вылету"
1464,"Всего мужчина заплатил за квартиру 58 миллионов рублей, а также 450 тысяч за машиноместо и 750 тысяч рублей — за мотоместо.",0,Всего мужчина заплатил за квартиру 58 миллионов рублей
1465,– Тема обманутых дольщиков не сходит с полос липецкой прессы.,0,Проблема обманутых дольщиков не сходит с полос Липецкой прессы
1466,Реакция властей на массовые жалобы обманутых дольщиков происходит по следующему сценарию.,0,Реакция властей на массовые жалобы обманутых дольщиков происходит по
1467,Задержка может составить до года.,0,Задержка может составить до года
1468,Пострадавшими числятся 816 семей дольщиков.,0,Пострадали 816 семей дольщиков.
1469,Зачастую застройщики сами заинтересованы в мирном урегулировании спора.,0,Застройщики сами заинтересованы в мирном урегулировании спора.
1470,Под застройку выделен земельный участок площадью 134 471 кв. м.,0,Под застройку выделен земельный участок площадью 134 471 кв. м
1471,"Им предъявили обвинения сразу по трём статьям: «Мошенничество в особо крупном размере», «Присвоение или растрата» и «Незаконное образование (создание, реорганизация) юридического лица».",0,«Мошенничество в особо крупном размере» и «Незаконное образование
1472,Новый завод безалкогольных напитков будет самым крупным в Восточной Европе.,0,Новый завод безалкогольных напитков будет самым крупным в Восточной
1473,Общая сумма взысканий составила почти 400 тысяч рублей.,0,Сколько тысяч рублей было взыскано?
1474,Единственное — поставили на нескольких этажах двери в лифтовую шахту и мало-помалу занимаются установкой самого лифта.,0,На нескольких этажах двери в лифтовую шахту и мало-
1475,"Вторая очередь – дом №2
Разрешительная документация была выдана одновременно с разрешением на строительство 1-й очереди.",0,Вторая очередь – дом No2
1476,Сегодня инфекционная больница заполнена практически полностью.,0,Сегодня инфекционная больница заполнена полностью.
1477,"Кроме того, по факту концессионером является и скандально известный холдинг «ПитерАвто».",0,По факту концессионером является и скандально известный холдинг Пи
1478,После чего можно вводить объект в эксплуатацию.,0,После чего можно вводить объект в эксплуатацию?
1479,Об этом Znak.com рассказали в департаменте здравоохранения Югры.,0,Об этом сообщили в департаменте здравоохранения Югры.
1480,В их числе — административное здание и обезьянник.,0,В их числе — административное здание и обезьянник.
1481,Ремонтные работы запланированы на осень.,0,Ремонтные работы запланированы на осень
1482,"Судебный пристав обратил взыскание на денежные средства, находящиеся в банках, вынес постановление о запрете на регистрационные действия в отношении транспортных средств.",0,"Судебный пристав обратил взыскание на денежные средства, находящиеся в банк"
1483,А к концу 2019 года будет введена школа на 1375 мест.,0,К концу 2019 года будет введена школа на 1375 мест.
1484,"Кроме того, проблему видят в том, что электрощитовое оборудование установлено в подвале, который постоянно заливает водой от осадков, и поэтому щитовую необходимо переносить.",0,"Проблему видят в том, что электрощитовое оборудование установлено в подвале"
1485,"Кроме того, по словам заместителя председателя Комитета, Москомстройинвест направил в прокуратуру города обращение с целью взять на особый контроль деятельности ЗАО «ДЕСНА ЛЭНД».",0,Москомстройинвест направил в прокуратуру обращение с целью взять на особ
1486,"Он уже много лет красуется недостроенным на опушке Кругленького леса, на улице Шпаковской.",0,Он уже много лет красуется недостроенным на опушке Кругленького леса
1487,Хочу выразить свое возмущение по поводу задержек рейса и сервиса на борту.,0,Я хочу выразить свое возмущение по поводу задержек рейса
1488,"""Суть этого закона в том, что, если ты подвел и вовремя не сдал, ты не можешь получать новое.",0,"""Суть этого закона в том, что, если ты подвел и"
1489,"Компании строят дома в Ростове, Краснодаре, Новороссийске, Геленджике, Сочи и Анапе.",0,"Компании строят дома в Ростове, Краснодаре, Новороссийске,"
1490,"Фактически продлить договор ""Воин-В"" может только по решению суда.",0,"По решению суда продлить договор ""Воин-В"" можно только по решени"
1491,"То есть, выходит, что в первом доме продано 87% квартир из 562, во втором – 54% из 427 шт. (всего – 719 шт. или почти 73%).",0,"В первом доме продано 87% квартир из 562, во втором – 54%"
1492,"В Петербурге спустят на воду самый мощный ледокол в мире 
Судостроение",0,В Петербурге спустят на воду самый мощный ледокол в
1493,"- Первый этаж, как я его вижу, состоит из свай и блоков, которые чуть позже можно закрыть и использовать в качестве нежилых помещений.",0,"Первый этаж состоит из свай и блоков, которые чуть поз"
1494,"Власти Севастополя рассказали, когда начнется ремонт инфекционной больницы.",0,"Власти Севастополя рассказали, когда начнется ремонт инфекционной больницы"
1495,История панельного домостроения в России длится уже более 70 лет и завершаться не собирается.,0,История панельного домостроения в России длится уже более 70 лет.
1496,"""Это некий коллапс, в каждом случае надо разбираться отдельно – чем вызвана задержка.",0,"""Это некий коллапс"", в каждом случае надо разбираться отдельно."
1497,Виктор Кувайцев поручил ответственным лицам «не снижать темп».,0,Виктор Кувайцев поручил ответственным лицам «не снижать темп».
1498,"Ответ на претензию дольщицу не устроил, и она написала претензию в адрес ответчика во «Владимирское территориальное управление строительства».",0,"Ответ на претензию дольщицу не устроил, и она написала"
1499,Дозвониться до Копайгоры журналисту агентства не удалось.,0,Дозвониться до Копайгоры журналисту не удалось.
1500,Технология обещаний отработана  давно и обычно сбоев не дает длительное время.,0,Технология обещаний отработана давно и обычно не дает
1501,В шести домах 396 квартир.,0,В шести домах 396 квартир.
1502,При этом строительство задумали с размахом.,0,При этом строительство задумали с размахом.
1503,"Теперь строительство будет идти на Фиолентовском шоссе в составе будущего медицинского кластера, вместе с онкологическим диспансером и больницей скорой медицинской помощи.",0,Теперь строительство будет идти на Фиолентовском шоссе
1504,"Сейчас в стадии строительства находится 141 многоквартирный дом на общую площадь 1,3 млн кв. м.",0,Сейчас в стадии строительства находится 141 многоквартирный дом.
1505,"Если некоторые девелоперы не получат денежные средства, то автоматически потеряют сезон, продолжил омбудсмен.",0,"Если некоторые девелоперы не получат денежные средства, то автоматически потеряют"
1506,Ежедневные судебные тяжбы девелопера длятся уже несколько месяцев.,0,Ежедневные тяжбы девелопера длятся уже несколько месяцев.
1507,"Впрочем, не факт, что Алене действительно «не повезло» стать клиентом скандально известного девелопера.",0,"Не факт, что Алене действительно «не повезло» стать клиентом скандально извест"
1508,"Согласно документу, для этого необходимо, чтобы дом был готов на 30%.",0,"Для этого необходимо, чтобы дом был готов на 30%."
1509,"Как мне объясняли специалисты, даже если там есть место площадью хоть тридцать сантиметров, это уже считается полноценным этажом.",0,"Даже если там есть место площадью хоть тридцать сантиметров, это"
1510,"При этом данные организации с хозяйственной точки зрения демонстрируют еще более худший подход, чем прежние МУПы.",0,"Это еще более худший подход, чем прежние МУПы."
1511,Часть первой очереди уже построили и заселили.,0,Часть первой очереди уже построили и заселили.
1512,"В первом корпусе уместили 308 квартир, во втором — 320.",0,"В первом корпусе уместили 308 квартир, во втором — 320 квартир."
1513,Параллельно продолжается работа по внутренней отделке дома.,0,Продолжается работа по внутренней отделке дома
1514,"Объекты, подчеркнул собеседник, находятся на контроле администрации Костромской области.",0,Объекты находятся на контроле администрации Костромской области
1515,«Новый Калининград» вспоминает историю «дома с треснувшим фасадом».,0,«Новый Калининград» вспоминает историю «дома с треснувшим фа
1516,А вот со вторым начались задержки.,0,А вот со вторым начались задержки.
1517,"Администрация аэропорта Гонконга решила отменить на сутки все рейсы из-за продолжающейся четвертые сутки подряд акции протеста, сообщается на сайте аэропорта.",0,Аэропорт Гонконга отменил на сутки все рейсы
1518,"Это некие превентивные меры, чтобы те, кто строит, задумались и не допускали просрочек"".",0,"Это некие превентивные меры, чтобы те, кто строит,"
1519,"В эту категорию, по нашим подсчетам, попадает около 1,5 тыс. человек, ожидающих свои квартиры.",0,"В эту категорию попадают 1,5 тыс. человек, ожидающих свои квартиры"
1520,"Однако, не были подключены коммуникации водоснабжения, водоотведения, газификации и электроснабжения.",0,"Однако, не были подключены коммуникации водоотведения, газификации и"
1521,– Все компании получили по земельному участку.,0,Все компании получили по земельному участку.
1522,"Строительство здания сначала оценивалось в 1 780 000 000 руб., но в июне 2017 г. сметная сумма изменилась на 1 306 614 490 руб.",0,Строительство здания началось в 1 780 000 000 руб.
1523,Начата стройка была весной 2014 года.,0,Начата стройка весной 2014 года.
1524,"Корпус №2, высотой от 7 до 10 этажей, рассчитан на 427 квартир (в соответствии с изменениями в ПД от 19.10.2017 г.).",0,"Корпус No2, высотой от 7 до 10 этажей, рассчитан на 4"
1525,"Авиационный инженер Пьер Спрей считает, что проект изначально был провальным, а нынешний сбой не мог быть неожиданным.",0,"Авиационный инженер Пьер Спрей считает, что проект изначально был провал"
1526,"– В Липецкой области в 2017 году введено в эксплуатацию 1,084 млн кв. м, прирост составил 1% (в 2016 году был 1,079 млн кв. м).",0,"В Липецкой области введено в эксплуатацию 1,084 млн кв."
1527,Васильково недовольны планами властей попытаться спасти здание через реконструкцию аварийных секций.,0,В Васильково недовольны планами попытаться спасти здание через реконструкцию авари
